DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2014-03-11 23:00:00,105.91,105.65,20140600,20140300,105.65,20140600
2014-03-12 01:05:11,105.925,,20140600,20140300,,20140600
2014-03-12 01:36:26,105.925,,20140600,20140300,,20140600
2014-03-12 02:08:23,105.935,,20140600,20140300,,20140600
2014-03-12 02:40:18,105.935,,20140600,20140300,,20140600
2014-03-12 03:12:15,105.945,,20140600,20140300,,20140600
2014-03-12 03:44:09,105.945,,20140600,20140300,,20140600
2014-03-12 04:15:23,105.945,,20140600,20140300,,20140600
2014-03-12 04:49:26,105.935,,20140600,20140300,,20140600
2014-03-12 05:21:27,105.945,,20140600,20140300,,20140600
2014-03-12 23:00:00,105.96,105.7,20140600,20140300,105.7,20140600
2014-03-13 23:00:00,105.98,105.71,20140600,20140300,105.71,20140600
2014-03-14 23:00:00,106.13,105.93,20140600,20140300,105.93,20140600
2014-03-17 01:14:01,106.115,,20140600,20140300,,20140600
2014-03-17 01:48:43,106.085,,20140600,20140300,,20140600
2014-03-17 02:20:07,106.075,,20140600,20140300,,20140600
2014-03-17 02:51:46,106.055,,20140600,20140300,,20140600
2014-03-17 03:23:34,106.045,,20140600,20140300,,20140600
2014-03-17 03:55:05,106.055,,20140600,20140300,,20140600
2014-03-17 04:26:28,106.035,,20140600,20140300,,20140600
2014-03-17 04:57:54,106.055,,20140600,20140300,,20140600
2014-03-17 05:29:33,106.0275,,20140600,20140300,,20140600
2014-03-17 23:00:00,106.02,105.8,20140600,20140300,105.8,20140600
2014-03-18 01:13:30,106.025,,20140600,20140300,,20140600
2014-03-18 02:57:38,106.025,,20140600,20140300,,20140600
2014-03-18 05:29:42,106.025,,20140600,20140300,,20140600
2014-03-18 05:29:43,106.025,,20140600,20140300,105.805,20140600
2014-03-18 05:29:44,105.805,,20140900,20140600,,20140900
2014-03-19 01:14:11,105.795,,20140900,20140600,,20140900
2014-03-19 01:46:22,105.855,,20140900,20140600,,20140900
2014-03-19 02:18:06,105.855,,20140900,20140600,,20140900
2014-03-19 02:49:21,105.845,,20140900,20140600,,20140900
2014-03-19 03:22:15,105.855,,20140900,20140600,,20140900
2014-03-19 03:53:32,105.865,,20140900,20140600,,20140900
2014-03-19 04:24:49,105.8525,,20140900,20140600,,20140900
2014-03-19 04:56:02,105.835,,20140900,20140600,,20140900
2014-03-19 05:27:17,105.835,,20140900,20140600,,20140900
2014-03-19 23:00:00,105.86,,20140900,20140600,,20140900
2014-03-20 01:20:26,105.725,,20140900,20140600,,20140900
2014-03-20 01:53:23,105.745,,20140900,20140600,,20140900
2014-03-20 02:26:37,105.755,,20140900,20140600,,20140900
2014-03-20 03:01:07,105.75,,20140900,20140600,,20140900
2014-03-20 23:00:00,105.74,,20140900,20140600,,20140900
2014-03-21 01:19:09,105.695,,20140900,20140600,,20140900
2014-03-21 01:54:39,105.695,,20140900,20140600,,20140900
2014-03-21 02:27:03,105.705,,20140900,20140600,,20140900
2014-03-21 03:02:40,105.705,,20140900,20140600,,20140900
2014-03-21 23:00:00,105.67,,20140900,20140600,,20140900
2014-03-25 01:16:44,105.695,,20140900,20140600,,20140900
2014-03-25 01:47:59,105.695,,20140900,20140600,,20140900
2014-03-25 02:19:19,105.695,,20140900,20140600,,20140900
2014-03-25 02:50:52,105.695,,20140900,20140600,,20140900
2014-03-25 03:23:22,105.695,,20140900,20140600,,20140900
2014-03-25 03:54:48,105.685,,20140900,20140600,,20140900
2014-03-25 04:26:06,105.685,,20140900,20140600,,20140900
2014-03-25 04:57:35,105.685,,20140900,20140600,,20140900
2014-03-25 05:28:55,105.695,,20140900,20140600,,20140900
2014-03-25 23:00:00,105.71,,20140900,20140600,,20140900
2014-03-26 01:15:13,105.665,,20140900,20140600,,20140900
2014-03-26 01:46:50,105.665,,20140900,20140600,,20140900
2014-03-26 02:21:02,105.675,,20140900,20140600,,20140900
2014-03-26 02:55:02,105.675,,20140900,20140600,,20140900
2014-03-26 03:28:25,105.675,,20140900,20140600,,20140900
2014-03-26 23:00:00,105.69,,20140900,20140600,,20140900
2014-03-27 01:15:19,105.745,,20140900,20140600,,20140900
2014-03-27 02:18:39,105.735,,20140900,20140600,,20140900
2014-03-27 03:20:08,105.745,,20140900,20140600,,20140900
2014-03-27 04:22:14,105.725,,20140900,20140600,,20140900
2014-03-27 05:24:06,105.735,,20140900,20140600,,20140900
2014-03-27 23:00:00,105.7,,20140900,20140600,,20140900
2014-03-28 01:10:39,105.715,,20140900,20140600,,20140900
2014-03-28 02:12:57,105.725,,20140900,20140600,,20140900
2014-03-28 03:14:42,105.735,,20140900,20140600,,20140900
2014-03-28 04:17:39,105.735,,20140900,20140600,,20140900
2014-03-28 05:18:59,105.735,,20140900,20140600,,20140900
2014-03-28 23:00:00,105.73,,20140900,20140600,,20140900
2014-03-31 01:13:22,105.7125,,20140900,20140600,,20140900
2014-03-31 02:17:44,105.715,,20140900,20140600,,20140900
2014-03-31 03:19:02,105.725,,20140900,20140600,,20140900
2014-03-31 04:20:14,105.725,,20140900,20140600,,20140900
2014-03-31 05:21:31,105.725,,20140900,20140600,,20140900
2014-03-31 23:00:00,105.73,,20140900,20140600,,20140900
2014-04-01 23:00:00,105.69,,20140900,20140600,,20140900
2014-04-02 01:16:07,105.695,,20140900,20140600,,20140900
2014-04-02 02:18:40,105.675,,20140900,20140600,,20140900
2014-04-02 03:21:59,105.675,,20140900,20140600,,20140900
2014-04-02 04:23:34,105.675,,20140900,20140600,,20140900
2014-04-02 05:26:23,105.685,,20140900,20140600,,20140900
2014-04-02 23:00:00,105.69,,20140900,20140600,,20140900
2014-04-03 23:00:00,105.67,,20140900,20140600,,20140900
2014-04-04 23:00:00,105.67,,20140900,20140600,,20140900
2014-04-07 23:00:00,105.75,,20140900,20140600,,20140900
2014-04-08 01:16:32,105.755,,20140900,20140600,,20140900
2014-04-08 02:21:51,105.775,,20140900,20140600,,20140900
2014-04-08 03:26:30,105.765,,20140900,20140600,,20140900
2014-04-08 04:31:28,105.765,,20140900,20140600,,20140900
2014-04-08 23:00:00,105.73,,20140900,20140600,,20140900
2014-04-09 23:00:00,105.8,,20140900,20140600,,20140900
2014-04-10 23:00:00,105.76,,20140900,20140600,,20140900
2014-04-11 01:34:56,105.815,,20140900,20140600,,20140900
2014-04-11 02:36:46,105.785,,20140900,20140600,,20140900
2014-04-11 03:42:17,105.805,,20140900,20140600,,20140900
2014-04-11 23:00:00,105.79,,20140900,20140600,,20140900
2014-04-14 01:16:46,105.775,,20140900,20140600,,20140900
2014-04-14 02:18:06,105.765,,20140900,20140600,,20140900
2014-04-14 03:19:19,105.755,,20140900,20140600,,20140900
2014-04-14 23:00:00,105.75,,20140900,20140600,,20140900
2014-04-15 01:13:00,105.715,,20140900,20140600,,20140900
2014-04-15 02:14:24,105.715,,20140900,20140600,,20140900
2014-04-15 03:16:35,105.725,,20140900,20140600,,20140900
2014-04-15 04:18:09,105.715,,20140900,20140600,,20140900
2014-04-15 05:20:59,105.725,,20140900,20140600,,20140900
