DATETIME,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT,PRICE,FORWARD,CARRY
1989-09-27 00:00:00,198912,199003,199003,98.78125,98.8125,98.8125
1989-09-28 00:00:00,198912,199003,199003,98.65625,98.6875,98.6875
1989-09-29 00:00:00,198912,199003,199003,98.546875,98.609375,98.609375
1989-10-02 00:00:00,198912,199003,199003,98.578125,98.640625,98.640625
1989-10-03 00:00:00,198912,199003,199003,98.90625,98.96875,98.96875
1989-10-04 00:00:00,198912,199003,199003,99.015625,99.078125,99.078125
1989-10-05 00:00:00,198912,199003,199003,99.203125,99.265625,99.265625
1989-10-06 00:00:00,198912,199003,199003,99.90625,99.96875,99.96875
1989-10-09 00:00:00,198912,199003,199003,100.171875,100.234375,100.234375
1989-10-10 00:00:00,198912,199003,199003,99.890625,99.953125,99.953125
1989-10-11 00:00:00,198912,199003,199003,99.71875,99.75,99.75
1989-10-12 00:00:00,198912,199003,199003,99.984375,99.09375,99.09375
1989-10-13 00:00:00,198912,199003,199003,100.25,100.125,100.125
1989-10-16 00:00:00,198912,199003,199003,100.21875,100.21875,100.21875
1989-10-17 00:00:00,198912,199003,199003,100.1875,100.1875,100.1875
1989-10-18 00:00:00,198912,199003,199003,100.1875,100.1875,100.1875
1989-10-19 00:00:00,198912,199003,199003,100.3125,100.3125,100.3125
1989-10-20 00:00:00,198912,199003,199003,100.171875,100.171875,100.171875
1989-10-23 00:00:00,198912,199003,199003,100.453125,100.25,100.25
1989-10-24 00:00:00,198912,199003,199003,100.875,100.875,100.875
1989-10-26 00:00:00,199003,199006,199006,100.71875,,
1989-10-27 00:00:00,199003,199006,199006,100.46875,,
1989-10-30 00:00:00,199003,199006,199006,100.546875,,
1989-10-31 00:00:00,199003,199006,199006,100.546875,,
1989-11-01 00:00:00,199003,199006,199006,100.609375,,
1989-11-02 00:00:00,199003,199006,199006,100.734375,,
1989-11-03 00:00:00,199003,199006,199006,100.390625,,
1989-11-06 00:00:00,199003,199006,199006,100.15625,,
1989-11-07 00:00:00,199003,199006,199006,100.328125,,
1989-11-08 00:00:00,199003,199006,199006,100.90625,,
1989-11-09 00:00:00,199003,199006,199006,100.78125,,
1989-11-10 00:00:00,199003,199006,199006,100.78125,,
1989-11-13 00:00:00,199003,199006,199006,100.8125,,
1989-11-14 00:00:00,199003,199006,199006,100.953125,,
1989-11-15 00:00:00,199003,199006,199006,101.1875,,
1989-11-16 00:00:00,199003,199006,199006,101.21875,,
1989-11-17 00:00:00,199003,199006,199006,100.921875,,
